No,Nama Perusahaan,Detail,Jenis Barang,Wilayah Pemasaran
1,GEOTINDO MITRA KENCANAPerseroan Terbatas (PT)Email :sales@geotindo.com,Merek Barang :SATLABStatus :Distributor,"Satlab USV+Multibeam Instruments: HydroBoat 1200 & Hydrobeam M2Hydrographic; Survey Equipments: Single Beam EchoSounder, Multi Beam Echosounder, Marine Global NavigationSatellite System, Side Scan Sonar, Acoustic Doppler CurrentProfiler; Unmanned Surface Vehicle: USV for coastal Hydrographic Survey and GNSS Njord",Indonesia
2,BINA KERJA BERSAMAPerseroan Terbatas (PT)Email :adm.bkb@gmail.com,Merek Barang :BlackRhinoStatus :Distributor,"Safety Shoes, Fire Shoes, Rescue Boot, Gear Bag",INDONESIA
3,GEOTINDO MITRA KENCANAPerseroan Terbatas (PT)Email :sales@geotindo.com,Merek Barang :KC DenmarkStatus :Distributor,"Sampling equipment for oceanographic, environmental and pollution investigations",Indonesia
4,GUNA ERA DISTRIBUSIPerseroan Terbatas (PT)Email :dempolaser.legal@gmail.com,Merek Barang :SUGINOStatus :Agen,"Tube Expanders and Standard Accessories; Jet Pump and Standard Accessories And Spare Parts,",INDONESIA TIDAK TERMASUK PULAU BATAM
5,INDOTEK TOTAL SOLUSIPerseroan Terbatas (PT)Email :sales@insolusi.com,Merek Barang :SBG SYSTEMSStatus :Distributor,"Hydrographic Survey Equipment and Navigation Equipment: The Ellipse product line is composed  of Ellipse-A, Ellipse-N, Ellipse-D, models and all complementary accessories; â€¢ The Ekinox  product line is composed of Ekinox-A, Ekinox-D, Ekinox-E, Ekinox-M, Ekinox-N and Ekinox-U models  and all complementary accessories; The Apogee product line is composed of Apogee-A, Apogee-D,  Apogee-E, Apogee-M, Apogee-N and Apogee-U models and all  Complementary accessories",Seluruh Indonesia
6,PANORAMA GRAHA TEKNOLOGIPerseroan Terbatas (PT)Email :sales@panorama.co.id,Merek Barang :VIAVIStatus :Agen,Avionics Test Equipment ; Radio Test Equipment ; AXle Test Equipment ; General Purpose Test Equipment ; Wireless Test Equipment,di wilayah negara Republik Indonesia
7,ASSA KITA BERSAMAPerseroan Terbatas (PT)Email :assa.kibe@gmail.com,Merek Barang :RAKHARAStatus :Agen,PRODUCTION CHEMICALS (tidak termasuk products untuk aplikasi Enhanced Oil Recovery),"1. PT. PHE Region II (1. PT. PHE WMO;; 2. PT. Pertamina EP Region 2 Zona 7 Cirebon); 2. PT. PHE Region III (PT. Pertamina Hulu Kalimantan Timur),; 3. PT. PHE Region IV,; 4. Medco Group; 5. British Petroleum (BP Indonesia); 6. EMP Group."
8,GEOTINDO MITRA KENCANAPerseroan Terbatas (PT)Email :sales@geotindo.com,Merek Barang :JFE ADVANTECHStatus :Distributor,"OCEAN AND RIVER INSTRUMENTS:  DEFI SERIES: DEFI2-T, DEFI2-L, DEFI2-D, DEFI2-DHG, DEFI2-CT  RINKO SERIES: RINKO-I, RINKO-II, RINKO-III, RINKO-W, RINKOPR, ARO-EC, ARO-FT, AROD-FT  RINKO PROFILER: ASTD-100, ASTD-101, ASTD-102, ASTD-103, ASTD-150, ASTD-151, ASTD-152, ASTD-153, ASTD-3XTU  AAQ-RINKO: AAQ170, AAQ171, AAQ172, AAQ175, AAQ176, AAQ177  INFINITY SERIES: INFINITY-ME, ATUD-USB, INFINITY-TURBI, INFINITY-CLW, INFINITY-CTW, INFINITY-CT, INFINITY-WH, INFINITY-EM, INFINITY-DEEP, INFINITY-TD  DIRECT READING CURRENT METERS: AEM1-DA, AEM213-DA, LABORATORY EM CURRENT METER  ACTD SERIES: COMPACT CTD LITE ACTD-CMP, ACTD-DF, COMPACT LW-ALW CMP, COMPACT TD-ATD HR  OTHERS AND OEM PRODUCTS: YODA PROFILER, HAI SENSOR, TEGARU-CTD, AUTONOMOUS WATER SAMPLER (AWS1000-2L/5L), AEM1-G, ACT-OEM, ACTD-OEM",Seluruh Indonesia
9,INDAH JAYA INDONESIAPerseroan Terbatas (PT)Email : -,Merek Barang :GulavitStatus :Distributor Tunggal,"Gula Pasir 1kg, Gula Pasir 500gr, Gula Pasir Kemasan Sachet","Surabaya, Sidoarjo, Gresik dan Sekitarnya, Jawa Timur, Kalimantan Timur, Kalimantan Barat, Kalimantan Tengah, Kalimantan Selatan, Kalimantan Utara, Sulawesi Selatan, Sulawesi Utara, Sulawesi Tengah, Sulawesi Tenggara, Bali, Nusa Tenggara, Kepulauan Maluku, Papua Barat"
10,POWER PERDANA NUSANTARAPerseroan Terbatas (PT)Email :pperdana@powerperdana.com,Merek Barang :Balcke-DurrStatus :Agen,Steam Surface Condensers for Geothermal Power Plants,Seluruh Indonesia
